iter	Passed	Remaining
0	20	20553
1	23	11515
2	25	8551
3	28	7047
4	31	6321
5	34	5729
6	37	5280
7	39	4888
8	41	4587
9	44	4366
10	46	4191
11	49	4056
12	51	3911
13	53	3789
14	56	3689
15	59	3640
16	61	3567
17	64	3536
18	67	3499
19	73	3603
20	77	3591
21	79	3514
22	80	3430
23	82	3370
24	85	3321
25	86	3252
26	88	3199
27	91	3168
28	93	3129
29	95	3091
30	97	3051
31	99	2996
32	101	2964
33	103	2934
34	105	2919
35	108	2897
36	110	2877
37	112	2857
38	115	2833
39	117	2814
40	119	2796
41	121	2776
42	124	2760
43	126	2741
44	128	2723
45	130	2706
46	132	2686
47	134	2670
48	137	2661
49	139	2648
50	141	2633
51	143	2616
52	145	2601
53	147	2590
54	149	2570
55	151	2554
56	153	2544
57	156	2534
58	158	2522
59	160	2510
60	162	2503
61	164	2491
62	166	2479
63	168	2469
64	171	2466
65	173	2461
66	175	2442
67	177	2433
68	179	2426
69	181	2417
70	184	2409
71	186	2407
72	188	2390
73	190	2382
74	192	2376
75	194	2369
76	197	2362
77	199	2354
78	201	2348
79	203	2343
80	205	2336
81	207	2325
82	210	2320
83	212	2316
84	214	2308
85	216	2303
86	218	2291
87	220	2280
88	222	2275
89	224	2271
90	227	2271
91	229	2263
92	231	2256
93	233	2250
94	235	2244
95	238	2241
96	239	2229
97	240	2217
98	243	2212
99	245	2207
100	247	2203
101	249	2194
102	251	2191
103	252	2178
104	255	2176
105	257	2174
106	260	2170
107	262	2165
108	264	2162
109	267	2162
110	269	2158
111	271	2154
112	274	2151
113	276	2146
114	278	2143
115	280	2141
116	283	2138
117	284	2128
118	287	2124
119	289	2119
120	291	2116
121	293	2111
122	295	2108
123	297	2104
124	300	2103
125	303	2105
126	305	2103
127	308	2102
128	310	2098
129	313	2098
130	316	2097
131	318	2095
132	321	2094
133	323	2090
134	325	2087
135	327	2082
136	330	2080
137	332	2078
138	334	2075
139	337	2070
140	339	2067
141	341	2062
142	343	2058
143	345	2055
144	348	2052
145	350	2049
146	352	2045
147	354	2041
148	356	2038
149	359	2034
150	361	2030
151	363	2029
152	366	2026
153	368	2023
154	370	2020
155	372	2012
156	373	2005
157	375	2002
158	378	2002
159	380	1996
160	382	1994
161	385	1991
162	387	1988
163	389	1984
164	391	1979
165	393	1976
166	397	1980
167	399	1977
168	401	1975
169	404	1972
170	406	1968
171	408	1965
172	411	1964
173	413	1961
174	415	1958
175	417	1954
176	419	1948
